feature,coef
item,-1.1117728330515892
russia,-0.6635178879702148
china,-0.6595822106415579
jordan,-0.5887712671121506
item item,-0.5480293489924044
russian,-0.5449304632614286
item applicant,-0.4527188578682706
sca,-0.4480226960536668
terrorist,-0.44520295126457343
sudan,-0.43742299171381804
gx tr,-0.4177797166066764
poland,-0.4126184936100721
items,-0.4045612640875208
chinese,-0.40246140013747
egypt,-0.38255853896406533
isis,-0.35149615460863126
colombia,-0.3466979517262562
item item item,-0.3329850163171921
investigator,-0.32173516788891476
ms,-0.3127395288494886
weekly,-0.3058902528285989
claime,-0.2998370876633079
country,-0.297909741914621
money,-0.29662894217767877
venezuela,-0.29370501800995774
applicant claime,-0.2888325238897403
prc,-0.28773495656841164
november,-0.28314753052696207
sca applicant,-0.2815527809563064
attack,-0.2806838090932003
send,-0.27627854711957056
report,-0.27537212072964223
interview,-0.26316775505648277
polish,-0.2610400915421037
india,-0.2497345596847283
background,-0.24956934302190167
applicant admit,-0.24524761582725832
egyptian,-0.24440811357271192
online,-0.24380736556032354
friend,-0.24380422689189057
interview applicant,-0.23680455850791846
investigator applicant,-0.2358975284132526
including,-0.2353665317079136
applicant say,-0.23329313050663297
applicant disclose,-0.23324326244317428
sor allege,-0.2315623261393852
admit,-0.2311087735652007
maintain,-0.22983298821487813
disclose,-0.22813682207654376
communicate,-0.22734631291396995
background interview,-0.22604005030755678
girlfriend,-0.22484945000942255
russian citizen,-0.22367548877158303
yemen,-0.22321784266286637
applicant provide,-0.22136764325422728
regime,-0.21726091112231996
threat,-0.2139047381281815
tell,-0.21208111126788856
afghanistan,-0.2039948635878386
syria,-0.203818319846661
arbitrary,-0.20005932666077333
applicant send,-0.19992789359500482
visit,-0.19776411092723442
gx,-0.1968527280705486
applicant communicate,-0.19559327508751717
pay,-0.1950648902258096
applicant testify,-0.19339865445652898
debt sor,-0.19296787453641012
government investigator,-0.1908522685002709
financial support,-0.1900750695548493
monthly,-0.19002182423259026
anti,-0.18966320990487837
2017,-0.18904266365152256
nigeria,-0.18640128252250995
university,-0.18585642575267775
public,-0.18309949714092896
support,-0.1828323771835346
provide,-0.18200829182549802
