feature,coef
israel,-0.6075607443635158
israeli,-0.4654636408273288
israel applicant,-0.13271533789936105
israeli citizenship,-0.11623956688061089
evidence,-0.10641059417023054
adult,-0.10102069056128361
foreign,-0.09412863991808133
fund,-0.08712840083669493
substantial,-0.07636298526938626
individual,-0.07422881884467322
response tr,-0.07381883943877776
sor response tr,-0.07381883943877776
german,-0.07381883943877776
israeli citizen,-0.07306201347976297
concern,-0.07125490342523542
fso,-0.06984343958384537
financial,-0.06761699920035415
acquire,-0.06673749805471174
burden,-0.06618707788440437
stepdaughter,-0.06607569554727247
sor response,-0.06264875210402111
subparagraph,-0.062414328578302876
asset,-0.06114081276981118
technology,-0.06077927318603609
israeli citizenship applicant,-0.060572481976050585
1997,-0.06028031051206706
january 2015,-0.059055071551022194
1997 applicant,-0.059055071551022194
january 2015 applicant,-0.059055071551022194
classify,-0.05736349262305564
germany,-0.05712495387357614
applicant acquire,-0.05695341104050137
obtain,-0.05694665800371227
tie connection,-0.05506307962272706
subparagraph subparagraph,-0.05506307962272706
disqualify,-0.054834311012914985
software,-0.054728184511738165
unite state israel,-0.054195181890277125
guideline,-0.05418459724860954
person,-0.053792400223707654
company,-0.05346917148878644
response,-0.052079777472494995
mitigate,-0.05196456164852146
state israel,-0.05170058757408474
military service,-0.05130269851589302
note,-0.05002995378900886
work israel,-0.0478931866159784
gan,-0.0478931866159784
renounce israeli,-0.0478931866159784
applicant renounce israeli,-0.0478931866159784
renounce israeli citizenship,-0.0478931866159784
pension,-0.04775037238587359
given,-0.046051788123904314
connection,-0.045535496740383534
circumstance,-0.045393808009365044
conclude,-0.045393808009365044
law,-0.044898241168188684
ge sor response,-0.04429130366326666
ge sor,-0.04429130366326666
testify applicant renounce,-0.04429130366326666
israeli pension,-0.04429130366326666
german company,-0.04429130366326666
receive israeli,-0.04429130366326666
technology company,-0.04429130366326666
israeli citizen applicant,-0.04429130366326666
live work israel,-0.04429130366326666
aliyah,-0.04429130366326666
pension bank,-0.04429130366326666
aliyah program,-0.04429130366326666
exhibit appendix,-0.04405046369818165
connection israel,-0.04405046369818165
reside israel,-0.04405046369818165
appendix,-0.04405046369818165
minor,-0.04405046369818165
financial israel,-0.04405046369818165
tie connection israel,-0.04405046369818165
employment,-0.04360818664756796
disqualify condition,-0.04349880361801808
eligibility access,-0.041603799226671095
eligibility access classify,-0.041603799226671095
applicant applicant,-0.04128319543542851
country,-0.04073393109756153
raise,-0.03998196052855353
election,-0.03945872749896589
