feature,coef
prostitute,-0.20346271989918258
claime,-0.17153980409549405
applicant claime,-0.16389784443698147
cw2,-0.15459963136825625
woman,-0.14957370726148997
view,-0.14610322247883534
alcohol,-0.1445181805409987
victim,-0.14299591313284227
aga,-0.14087518273615646
item,-0.13839227460756753
polygraph,-0.13325731749848693
claime applicant,-0.13274349029029148
student,-0.12961111566853817
em,-0.12944246084258493
agency,-0.12535348430005736
applicant claime applicant,-0.1214637539296668
engage,-0.12090861949288609
tax,-0.11741785247516362
ms,-0.11156221863656741
touch,-0.10982464812601198
investigator,-0.10927861301930122
examiner,-0.09903711461683659
2018 applicant,-0.09809497970656779
know,-0.09752942060656783
probation,-0.09611544947066149
eip,-0.09486032072245337
dr,-0.0934142928246989
polygraph examiner,-0.09046313815578098
misconduct,-0.0903712256853882
pornography,-0.08600644652202925
applicant engage,-0.0855994964143292
item applicant,-0.08431436432327732
drink,-0.08400477481506582
evaluation,-0.08351959322300465
engage sexual,-0.08121063366898874
enc,-0.08100647313034107
plea,-0.0809655541652702
2013,-0.0809650221774091
image,-0.08095162283749248
prostitution,-0.08092810822184722
counselor,-0.07893016851635606
11,-0.07889943903306008
2018,-0.07851890522761201
stepdaughter,-0.07730613591351444
2014,-0.07618993299342118
masturbate,-0.07598488474981595
disclose,-0.07570208411073727
counseling,-0.07512274528682181
federal,-0.07475714031833539
treatment,-0.07466955212992464
2016,-0.07439026221542618
escort,-0.07376906906944097
child pornography,-0.07376564718312421
answer enc,-0.07290582581730695
applicant touch,-0.07286651180691792
form response,-0.0723836220400938
cousin,-0.07161046245274064
count,-0.07025446429614508
air,-0.06905333567661955
coworker,-0.06871263782852736
applicant view,-0.06829520411815247
sex,-0.06784328820079591
roommate,-0.06739797890551902
air force,-0.06666999789976835
young,-0.0666415514040975
applicant tell,-0.06657279185561009
applicant know,-0.06606940370463403
irs,-0.06564915421615325
police,-0.06564277201420692
items,-0.06540016657577721
ae,-0.06528275068283342
applicant disclose,-0.06510752805537313
occasion,-0.06466444987029098
believe applicant,-0.06427326804875022
corporate computer,-0.06419890371658414
evening,-0.06400568896936286
sexual intercourse,-0.0638059338724827
oral sex,-0.06369858467413743
consume,-0.06282437999209224
bed,-0.06255089619852677
note,-0.06245430893565203
film,-0.06191747483344368
applicant claim,-0.061728758490158124
view pornography,-0.06159471606693172
income,-0.06015837296621456
march 2020,-0.05995993784816569
old applicant,-0.05957100772291438
ge 11,-0.059437405267713024
provide,-0.058701376850385185
attend,-0.058388126310793625
august,-0.058219552058915346
sex applicant,-0.05795546280994529
mission,-0.057780467170190856
response applicant,-0.05741424632999572
payment,-0.05709410708374939
year old applicant,-0.05699146355496664
indicate,-0.05674538243397472
text,-0.05637767191771902
man,-0.0561809904271721
item sor,-0.0560812558044878
2008,-0.05595916820809356
online,-0.05574860991188677
security,-0.05522981063117253
work,-0.0549688016920697
minor,-0.054961916858854175
pants,-0.05403697126968689
hotel,-0.0539954751882669
applicant tell investigator,-0.05396914530406252
country,-0.0539562038587633
pornography applicant,-0.05384462681330406
engage prostitution,-0.05323951521564308
interviewer,-0.05311757268121493
tax return,-0.05281946817222442
communicate,-0.05269103718651468
age,-0.05249221044827083
applicant make,-0.05223602878330586
therapy,-0.052205032994385586
corporate,-0.05219275566968535
women,-0.05214682794257567
note applicant,-0.051945811281427126
applicant claim applicant,-0.05190626195943992
story,-0.0515256595559148
army,-0.051452900785313185
granddaughter,-0.05135195804610046
2015,-0.05125242805452277
bankruptcy,-0.05119916274489035
view child,-0.05084635323890955
erotic,-0.050665588358478
indicate applicant,-0.05064088452420232
applicant provide,-0.0503973275664982
prostitute applicant,-0.05032258832784775
fantasie,-0.05005172952379626
victim em,-0.04978556186253267
risk,-0.04976796022629119
agency investigator,-0.04958296968311189
vagina,-0.04943231522592166
meet,-0.04930399358575453
urinalysis,-0.04929144846322196
escort service,-0.04919106438563104
item sor applicant,-0.04913780428026678
pose,-0.048289341276191104
sexual misconduct,-0.048254420550665915
applicant note,-0.047863472838048676
examination,-0.04779905204545738
applicant believe applicant,-0.047620454496330636
money,-0.047542525492618046
conduct pay,-0.04749910771971962
criminal conduct pay,-0.04749910771971962
just,-0.047308669415108646
claim applicant,-0.047282373809952115
age applicant,-0.04722509535359133
pay prostitute,-0.04718743055286498
program,-0.047131206843682355
federal contractor,-0.04707590099480664
psychologist,-0.047063707545165354
revoke,-0.047019089634528194
classify,-0.04693893784123208
marriage,-0.04645610687505407
videotape,-0.04637187235004518
use company issue,-0.04636160226292787
view child pornography,-0.046247026244248
believe,-0.0461625939201123
girl,-0.04600988700670748
testify,-0.045908726379427944
patronize,-0.04573088576039068
patronize prostitute,-0.04573088576039068
act,-0.04554900843482415
behavior,-0.04533188793176169
xy,-0.04482100314051814
tell investigator,-0.04480521586291058
tdy,-0.04474978402135496
house,-0.0447228263934135
consume alcohol,-0.044498897364664766
act sexual,-0.044231013330273315
engage sexual intercourse,-0.04422775818198145
000,-0.044104820064187256
view pornography work,-0.04397068834989578
apartment,-0.04382806149181495
know age,-0.04379724774157541
reserve,-0.04372681384515387
engage criminal,-0.04368918251929755
engage criminal conduct,-0.04368918251929755
psychological,-0.04353216130769877
bedroom,-0.043526077736404704
tell,-0.04337362502325686
history,-0.04337302292730622
sexual service,-0.043366480862702284
applicant exhibit,-0.04334240340987094
act sexual intercourse,-0.043252587619434936
duty navy applicant,-0.043252587619434936
navy applicant admit,-0.043252587619434936
prostitute act,-0.043252587619434936
applicant engage criminal,-0.043252587619434936
prostitute act sexual,-0.043252587619434936
afosi,-0.04314748694752832
gamble,-0.04313001740531922
woman applicant,-0.04311451081972584
think,-0.042976718145312155
national ms,-0.04254788584149105
iscr,-0.04244599216793291
intercourse,-0.04231247593217575
oral sex applicant,-0.04231128020184695
polygraph examination,-0.0421904950356518
club,-0.04215833243059356
sleep,-0.04211361588962821
family aware,-0.04208749925928494
applicant spouse family,-0.04208749925928494
spouse family aware,-0.04208749925928494
outside,-0.04200611037213576
testify applicant,-0.04196869690732159
copy,-0.04186841117005874
pornography work,-0.04176939355962895
applicant consume,-0.041534896625702984
engineer,-0.041481900011565466
spouse unaware,-0.04103782877489761
skirt,-0.04095870770749865
addiction,-0.04093996648563799
commander,-0.04065779696463088
frequency,-0.040650454961404285
solicitation,-0.04064409672785842
weekly,-0.04061437658733223
enc applicant,-0.04050323656517053
teenage,-0.0403434098602033
jail,-0.04033063792857393
don,-0.04029144469891933
carolina,-0.040242196177027886
north carolina,-0.040242196177027886
master,-0.04020779159992313
read,-0.04016537855034094
applicant engage prostitution,-0.03997473330308382
applicant sentence,-0.039939827168017666
work federal,-0.03982540350558846
ae applicant,-0.03980326740819049
probation officer,-0.0397750480804937
submit letter,-0.03971083546621179
nake,-0.03968687324749485
police applicant,-0.03967893825460825
jamie,-0.039602743805988175
month,-0.03947020909149166
carolina hawaii,-0.03946644375224558
north carolina hawaii,-0.03946644375224558
guam north,-0.03946644375224558
guam,-0.03946644375224558
hawaii,-0.03946644375224558
guam north carolina,-0.03946644375224558
time week,-0.039438527410576914
cell,-0.03929071443657456
cell phone,-0.03929071443657456
degree,-0.03917686716568055
interview,-0.03910367179374512
months applicant,-0.03898352590891656
occasion applicant,-0.03897067600754705
hire prostitute,-0.03891531616959505
couch,-0.038908670491704926
swingers party,-0.03875081104256838
swingers,-0.03875081104256838
decide,-0.03872023445907221
inappropriately,-0.03852592924475232
store,-0.038364808858665035
2014 applicant,-0.03827424198458423
applicant view pornography,-0.038267280282944564
applicant lie,-0.03824101483247036
decision,-0.03818458672107684
company issue,-0.03802667420505866
alford,-0.037882254340916154
video,-0.03780968503389216
january 2018 applicant,-0.03768022866173408
