feature,coef
ms,-0.7259271567411903
page,-0.6589924721655223
item,-0.6291084556731297
applicant state,-0.5887910270007078
claime,-0.5791463375796291
applicant claime,-0.5542111312551393
items,-0.49421561335092457
investigator,-0.4655225473494018
arrest,-0.45738394767823176
2021,-0.4515365480163269
admit,-0.43972923528332103
employer,-0.4140143286545834
applicant admit,-0.4115505340146322
student,-0.4065818439095374
page line,-0.40591320700844846
claime applicant,-0.40548822968116915
mr,-0.38037720665526
item page,-0.3798317946526797
applicant state applicant,-0.37051407778847945
drive,-0.36838461420760976
2018,-0.3667217595689705
conduct,-0.3652901187028017
credit,-0.36350992490957007
employment,-0.35947056358473717
guideline,-0.35144125301256157
alcohol,-0.3446765752720706
aga,-0.3438292552039768
test,-0.3435733102253598
applicant claime applicant,-0.3435565168986226
interview,-0.34010737863081764
misconduct,-0.3364048931002749
court,-0.3258320385110156
company,-0.32464292638865605
money,-0.31779176172406076
2020,-0.3138155306906287
dui,-0.3120370216751887
use marijuana,-0.310800308222097
items applicant,-0.30981736597091986
ge,-0.29500099202985
substance,-0.29173798894203234
following,-0.2864965746472418
2022,-0.2767811447662868
terminate,-0.27274475296518863
state applicant,-0.2711051878329581
list,-0.264021026750729
lie,-0.2638540070914544
acknowledge,-0.2626648511335573
claim,-0.25786878570272814
tr page,-0.2566015954418945
tr page line,-0.25603579547360084
like,-0.25380269819173623
thumb drive,-0.24987792033374298
state,-0.24854250545122816
applicant terminate,-0.24772999511435964
allegation,-0.24720296943586134
thumb,-0.245561718625106
respond,-0.23788077148674056
question,-0.23595344421537096
consider,-0.2356845757169808
falsify,-0.23235215233345766
false,-0.23196097244934877
2019,-0.23014723856856154
prison,-0.22829566515033653
discharge,-0.22778813586047164
applicant acknowledge,-0.2218884572195768
supra,-0.2208652847773673
accident,-0.21482819683616086
applicant respond,-0.2126894916553345
theft,-0.21100562610299292
relate,-0.21040693200658345
applicant falsify,-0.20981737070028592
send,-0.2063547735106645
guideline allegation,-0.20378349799184314
sca,-0.20253566805907475
mutual agreement,-0.2024059860032478
