feature,coef
item,-2.5088927689827205
applicant state,-1.9410895063453903
claime,-1.6142658523442337
applicant say,-1.612514591183585
applicant claime,-1.5586537196641714
evidence,-1.4990931841578705
say,-1.4656156745630216
unresolved,-1.4325250829276068
applicant state applicant,-1.3947365963542038
provide,-1.282989709783906
investigator,-1.2735633561484945
remains,-1.2358208489775258
claime applicant,-1.1887687782128844
admit,-1.185786652306806
applicant testify,-1.1298940244241824
applicant claime applicant,-1.1041418850951212
applicant provide,-1.102870453503161
applicant admit,-1.0903325997244484
state applicant,-1.0380930640329546
applicant say applicant,-1.0305576909819443
delinquent,-1.0016198398973706
documentary,-0.9997884452020049
debt remains,-0.9839441373186544
000,-0.9811729623671179
2016,-0.9760650246434479
hearing,-0.9492633393093517
say applicant,-0.9288472246363647
tax,-0.9067790788345088
open,-0.9047472997937387
claim,-0.8897422539408888
state,-0.8851488108069823
sca,-0.8787246004920255
documentary evidence,-0.8733503562577508
documentation,-0.8636323834528625
applicant fail,-0.820053543225518
federal,-0.8141730829477917
debt unresolved,-0.811623898244198
support,-0.805242001129276
applicant testify applicant,-0.8021628670586152
interview,-0.7960961844609813
allegation applicant,-0.7823057240295931
evidence applicant,-0.781267478648
proof,-0.7742133095226414
place collection,-0.7582679738607313
applicant claim,-0.7453270908781956
item applicant,-0.7364755708634748
unresolved tr,-0.7318033523586938
submit regard,-0.7199627288016616
testify,-0.7161228662407589
interview applicant,-0.7109454199627792
make payment,-0.7107440011352063
applicant present,-0.7090430908949327
hearing applicant,-0.7031329285438297
item item,-0.6957519871596305
provide documentary,-0.6911939809503668
items,-0.6858628156624547
items applicant,-0.6852452572008739
answer sor,-0.6815895428340576
regard,-0.6768256288350085
sor applicant,-0.6759619998862663
tys,-0.6664250784912145
allegation applicant applicant,-0.6625659893330321
applicant acknowledge,-0.6586873938591957
pastdue debt,-0.6574922759284543
ges,-0.6244096982935952
applicant know,-0.6243383523995035
item page,-0.6213587781037818
assert,-0.618811264925381
applicant admit applicant,-0.618457483708317
provide documentary evidence,-0.6125802391460209
documentation support,-0.6105604820784741
applicant submit regard,-0.6077314804618442
submit,-0.6070855926175438
acknowledge,-0.6065923243799219
unpay,-0.6020963572132656
government investigator,-0.599266722231189
sor applicant state,-0.5950462443863713
answer sor applicant,-0.5888162108217619
applicant assert,-0.5853267257035532
applicant respond,-0.5851493720624534
applicant make payment,-0.5843936841495689
provide information,-0.5831900623965086
owing,-0.5800284803968064
remains owing,-0.5799528410178829
applicant owe,-0.5788783385793276
investigator applicant,-0.5764408773024904
delinquent account,-0.5756632834284361
applicant interview,-0.5716373808403181
debt unresolved tr,-0.5677971044398727
provide evidence,-0.5657288881926906
respond,-0.5634275025919555
admit applicant,-0.5617916058304182
federal student,-0.5502550193779038
applicant attribute,-0.5492499515479791
pastdue debt creditor,-0.5491240731906634
place,-0.5488970158946307
support documentation,-0.5483456046988372
applicant indicate,-0.5461821912587472
corroborate,-0.546098927888444
debts,-0.5372811072087706
tax debt,-0.5347057197114115
applicant fail provide,-0.5308338787349416
applicant provide information,-0.5275597318548003
applicant provide documentary,-0.5269524327134248
fail,-0.5143344158119019
fail provide,-0.5122965754313211
doed,-0.510848019658669
unclear,-0.5086933842687478
debt remains owing,-0.5074814989410853
collection,-0.5069798765645426
submit documentation,-0.5069544743349672
claim applicant,-0.5064031059548904
purposes,-0.5042596230315713
list,-0.5012776723508645
applicant estimate,-0.5000411950681014
sca applicant,-0.49872930684206584
evidence payment,-0.49501696152356667
applicant applicant admit,-0.4948373664402508
delinquent federal,-0.49303205388478616
000 applicant,-0.4918884798739717
debt creditor,-0.48883586497952186
2020 applicant,-0.4886272847410969
unresolved sor,-0.48491127903346076
little,-0.4836912056177392
applicant provide evidence,-0.48026403533446516
sor answer applicant,-0.4773437005158235
paycheck,-0.4705531956388917
december 2016,-0.46823805601248036
applicant indebt creditor,-0.46726815710646835
remains unresolved,-0.46632508434388165
submit evidence,-0.46623528913948864
applicant submit evidence,-0.4652493203225781
applicant tell investigator,-0.46329182619877307
advisor,-0.45922645513398364
interrogatory,-0.4562634453278248
testify applicant,-0.45188173738134585
indebt creditor,-0.45070163864671126
offer,-0.4492589132242879
specify,-0.44834370325313005
tell investigator,-0.44597484307145685
education loan,-0.44545905588118134
know,-0.44502645787553674
contend,-0.44455106874775785
attribute,-0.44004792218276095
account place collection,-0.4393255532821976
arrears,-0.43780343567562374
2017 2018,-0.43649361639006773
account place,-0.43365782715984763
applicant applicant,-0.43267784587470937
delinquent debt owe,-0.4309935070309251
regard allegation,-0.4296854536850368
applicant disclose,-0.42940545038749145
analysis,-0.4293916524187347
interview government,-0.4287580562773368
applicant open,-0.4282614596213391
indicate,-0.4276629402992241
august 2022,-0.424698590435001
taxis,-0.42223866834186624
regard allegation applicant,-0.4212866411975119
2018,-0.42079296286216816
applicant action,-0.4197217376483164
applicant stop,-0.4174239196289643
interview government investigator,-0.41639817961007763
person analysis,-0.41525272857207146
recall,-0.4142608437673328
consider,-0.4138751940732179
applicant present evidence,-0.4135578132722742
applicant list,-0.41049784686178936
item item item,-0.4096833493632294
filed,-0.4088612305129992
admit pastdue,-0.4087661903451691
opm,-0.40788034646556626
aske,-0.4060539837500629
proof payment,-0.40457731194587615
assert applicant,-0.4044803611991055
confront,-0.4024022032541644
2017,-0.40155825819308305
state applicant file,-0.4011149587244594
travel,-0.40092305036486153
financial advisor,-0.3986769536097257
debts applicant,-0.3984775158887019
payment make,-0.39754380631818936
august,-0.3971620560057588
card,-0.3967856628078531
applicant assert applicant,-0.3956825738326651
