feature,coef
item,-1.0862677811452872
page line,-0.5407598530888514
page,-0.42618189580342997
marijuana,-0.4091541381833493
item item,-0.3947202413461444
line,-0.3346899775875487
arrest,-0.2917978889992949
tr page,-0.2769863110966675
tr page line,-0.26935854732255904
applicant claime,-0.2510239251695309
drink alcohol,-0.23641503595707664
applicant claime applicant,-0.23598136762062097
line page,-0.23245667560999692
page line page,-0.23245667560999692
applicant drink,-0.2289108684071879
claime,-0.228487417865824
response sor,-0.22811884544003977
dui,-0.22575599256020207
line page line,-0.22069806052051347
government exhibit,-0.21907934004085372
possession,-0.21674092536365838
applicant state,-0.2154955459200232
response,-0.21330303170002363
claime applicant,-0.20924756195944774
applicant say,-0.2072122526520561
applicant response sor,-0.20618048932812308
investigator,-0.19430950370658726
item applicant,-0.19209924365709138
aske,-0.18892280469903105
liquor,-0.18603805665062126
time,-0.1852725660241625
applicant response,-0.1848569818772755
response sor applicant,-0.17972279399498814
plead guilty,-0.17769678027456987
plead,-0.17403055911624885
home,-0.17233126233949186
say,-0.17167285637430243
sudcc,-0.17059831329597078
applicant admit,-0.15735829134888532
march,-0.1557279036738097
tax year,-0.15529228263325426
alcohol treatment,-0.15455518320523942
police,-0.15438766618890065
applicant plead,-0.152126977204322
police officer,-0.14835677251988724
couple,-0.1482746041368682
treatment,-0.14764960020100515
sca,-0.14363846601504443
depression,-0.14203857760118135
alcohol tr,-0.13951151181585453
marijuana use,-0.13934467942195508
15,-0.13869281551400334
arrested,-0.1361178595705697
duty,-0.13605074686079396
use alcohol,-0.1339180354342799
applicant plead guilty,-0.13358755978164383
applicant state applicant,-0.1335052903950901
estimate,-0.13314023972432515
day,-0.13302015517858523
applicant say applicant,-0.13248225460357277
intoxicated,-0.13089466763486882
response form,-0.12960823260077145
answer sor,-0.1290612862345397
applicant estimate,-0.12678085370889827
accident,-0.12617522507990298
undergo,-0.1250563274712277
bankruptcy,-0.12504692822223845
investigator applicant,-0.12488413913856043
interrogatories,-0.12400277368584611
reliability trustworthiness applicant,-0.12374316984667924
army,-0.12370104688406036
iop,-0.12345270805122846
applicant arrested,-0.12316257275168672
charge possession,-0.12272400855500443
guilty,-0.12233912122476391
federal tax,-0.12233828906121821
sor applicant admit,-0.12208175150707076
2022,-0.12114633043645533
2007,-0.12091508747365924
outpatient,-0.12066224083765238
aske applicant,-0.12030338018661094
hard liquor,-0.12028919297997054
24,-0.1201237238496443
29,-0.1198465025978763
order,-0.11923521241510486
classify information,-0.11880595871447021
car,-0.11772283239376123
age,-0.11734409915994093
frequency,-0.11675526161798486
use disorder severe,-0.1167288396079712
start drink,-0.11648756984759656
program,-0.114261870084825
police report,-0.11310756623366335
