feature,coef
marijuana,-0.7228447492526742
item,-0.6048894772406003
sexual,-0.4497169650767016
applicant state,-0.40269213479343274
probation,-0.4020437143378931
use,-0.3668442255945798
felony,-0.35987645172343946
sex,-0.35511777031364655
court,-0.35176054498746406
state,-0.3274925933615233
item item,-0.3246829245089505
applicant state applicant,-0.3232852450152777
dr,-0.3111314467487043
applicant response,-0.3102668292623073
applicant response sor,-0.3101778724370815
victim,-0.3092489212615525
card,-0.30553948593288516
interview,-0.30288201528720443
sor,-0.29828534314809146
ms,-0.2948124152567908
convict,-0.29263301270756525
guilty,-0.28691435422194644
prostitute,-0.27418153275697127
use marijuana,-0.27404457912812347
alcohol,-0.2667454209281666
psi,-0.24221355220263072
state applicant,-0.2408900872682361
2020,-0.234159516216136
sentence,-0.23076344285963907
offense,-0.22950231867985083
credit card,-0.22683629408726394
august,-0.2157828309722972
count,-0.2126299787141226
sexual assault,-0.21189823002255176
defer,-0.2074452842092516
insurance,-0.20430327678701066
solicit,-0.19686960223373523
discharge,-0.19634987369992576
response sor,-0.19556976968019707
possession,-0.1945826257803534
guideline sor,-0.19284940000245435
applicant sentence,-0.19172531535796486
aske,-0.18977099498237607
minor,-0.18929259686462105
answer applicant admit,-0.18912200866193593
history,-0.1884790786936636
polygraph,-0.18799284184406698
martial,-0.18522481333365629
court martial,-0.18522481333365629
supra,-0.1841133293974621
store,-0.18356333764134572
gx,-0.18260076560235408
prison,-0.18208402486476744
tell,-0.1801517350374405
psychologist,-0.17987116772663198
answer,-0.17909405185277472
theft,-0.17909037855130597
answer applicant,-0.17768232346963417
applicant testify,-0.17752928918568764
applicant fail,-0.17714163727848808
government exhibit,-0.17257473023979114
plead guilty,-0.17139473018465096
including,-0.16666470857717347
use applicant,-0.1660693993999167
applicant admit,-0.1650410969683214
supra note,-0.16377379051381222
guideline sor allege,-0.1587422973226219
days,-0.15830897523795923
applicant plead guilty,-0.1565028695280964
bag,-0.1564863793387149
vehicle,-0.15615548707508087
woman,-0.15603554673640446
rape,-0.15553387365201146
claim,-0.15519304316935428
aggravate,-0.15488345133199008
suspended,-0.15459702093222868
ring,-0.15391967809736046
complete,-0.1531869938967396
applicant charge,-0.15226136586441197
sor answer,-0.15188237147497907
base,-0.15106069440007602
article,-0.14936536697676225
probation officer,-0.14906516236397377
tag,-0.1490162435966218
mail,-0.14800575699322158
sor applicant,-0.1476611498070258
applicant use,-0.14748639063779614
airline,-0.14740091700283617
program,-0.14722270408002708
29,-0.14650443144165695
airport,-0.1461164426335833
23,-0.14605449281026303
license,-0.14500425556946608
indicate applicant,-0.14469314792865812
test,-0.14444464018682307
indicate,-0.14368551769242793
applicant convict,-0.14321560823376978
explanation,-0.1428903929213455
restitution,-0.1426000566861084
condition,-0.1421255665881609
january,-0.1413019135972228
aga,-0.14115164127889973
pornography,-0.14107310042123064
ask,-0.14090432100999659
just,-0.14061880251480288
drinking,-0.14042856045459687
sor allege,-0.14037731664933184
extramarital,-0.14031360672834434
place,-0.14021957676425292
ge sor,-0.13944155561964325
criminal,-0.13856102258666306
plead,-0.13782679831787623
item sor,-0.13725460881383222
hearing applicant testify,-0.13598113687320298
assert applicant,-0.13554565921200676
1989,-0.13149226826704577
costs,-0.13085123065669085
mr,-0.1306910099324517
possession marijuana,-0.1304666111087864
mental,-0.13011694710687774
2022,-0.1296879005533086
sailor,-0.1293656820505972
purchase marijuana,-0.12924323010880587
text,-0.12881021326747347
treatment,-0.1283589982596976
drink,-0.12765917450965256
touch,-0.12734225727702836
confinement,-0.12688323764302045
marijuana use,-0.12687304833881963
tax,-0.1267532965433063
court costs,-0.12591057984901893
company,-0.12528166414340516
doha,-0.12443711418968458
months,-0.12412069920811104
psi applicant,-0.12392665102971628
investigation,-0.12314420976030516
driver license,-0.1228912017179286
testify,-0.12259583347363315
ecstasy,-0.1223799436428882
dui,-0.12162075966913358
2014,-0.12152311426470744
hire,-0.12133614182987905
prison applicant,-0.12112075235805897
question,-0.12047765360448341
sentence confinement,-0.12039876843832001
2016 applicant,-0.12038397710150853
applicant use marijuana,-0.11987678431024838
stated,-0.11976015287026748
disorderly,-0.11972860762556453
night,-0.11963354749774757
april 2014,-0.11949878421434396
civilian,-0.1194403850183847
marine,-0.11933065899681504
wallet,-0.11912964277584302
applicant answered,-0.11875671159429699
november,-0.11853586730078913
applicant assert applicant,-0.11801276854126917
1998,-0.11773917846637805
government exhibit applicant,-0.11716627097047654
applicant fine,-0.1169806348489309
2021,-0.11691954897414251
february,-0.11644932817189703
use alcohol,-0.11634377602853777
ae,-0.11627225576557085
criminal charge,-0.11582706031824608
investigator,-0.11531990445513189
applicant fail appear,-0.11522753851362515
complete alcohol,-0.11485244568426053
opm,-0.11442869362595223
check,-0.11377298717453639
roommate,-0.11334454053621618
2012 applicant,-0.11325915724768941
fail appear court,-0.11313988975191498
response sor applicant,-0.1125360609756532
aggravate assault,-0.11228626164543666
hearing,-0.11136866235351389
license suspend,-0.11123429756767253
background investigation,-0.1111932711734492
investigation applicant,-0.11106220201770801
tr 18,-0.11068271968567507
ges,-0.1106340462466086
sobriety test applicant,-0.10980624684723797
statement,-0.10933814037886572
alcohol drug,-0.10905599401327218
military,-0.10902469615923144
bench,-0.10876014246992119
applicant plead,-0.10875495050003892
day,-0.10873601835138234
january 2021,-0.10838772411875203
pay,-0.10835141324213501
punishment,-0.10824628541378976
relevant,-0.10817201827018078
incident allege,-0.10791545715216595
control,-0.10775762049224336
15,-0.10767189755279422
prosecution,-0.10760454236507612
refusal,-0.10758919622061547
interview applicant,-0.10740768803953421
appear court,-0.10716110938856221
residence,-0.10709093405972958
shotgun,-0.10677664780306696
november 2016,-0.10659652483261643
manufacture,-0.10655357335057426
fine,-0.1062074623009037
violation article,-0.1060207010734647
response,-0.10590887830515076
suspension,-0.10585373392693206
record,-0.10565991384668838
impair,-0.10562348618313071
incident allege sor,-0.10555199073974068
drug,-0.1054281789014371
background,-0.10542261573767726
correct,-0.10525484327842652
security clearance,-0.105014871907024
beers,-0.10484133030854777
bench warrant,-0.10451895235653125
child pornography,-0.10438743487604556
alcohol tr,-0.10424593685760479
2009,-0.10415894186365247
false,-0.10391429502066829
court date,-0.10350244629747607
applicant solicit,-0.10337936275663505
afghanistan,-0.10283503596167894
authority,-0.1027058430627685
interlock,-0.10255787923506832
driving,-0.10239923894747954
applicant answer sor,-0.10222328528728752
po,-0.10206631681989796
49,-0.10202099083393658
record indicate,-0.10198072835952443
prostitution,-0.10193777218764183
month,-0.10186826028526391
understand,-0.10181574633556738
february 2014,-0.10175886005020666
respond,-0.10171404372130165
felony count,-0.10167623639457155
filing,-0.10128569481171679
personality,-0.10123852727575602
trial,-0.10085780490678267
sor guideline sor,-0.10077734911448367
light,-0.10068405637100507
warrant,-0.10065984548500163
charges,-0.10049253209029792
disorder,-0.10042765399039327
fail appear,-0.10034181085460422
probation applicant,-0.10033398510047159
intent,-0.10023631728569543
march 2015,-0.09996824346559526
warrant issue,-0.09986658484433107
applicant understand,-0.0998510487652712
blood,-0.09984061741885147
insurance claim,-0.0998405508181246
message,-0.09976351608704644
allegation,-0.09955700291745519
write applicant,-0.09947665385407817
fraudulent,-0.09933720467522686
advise,-0.09925989931197238
august 2019,-0.09917903204824927
worker,-0.09899884623105407
18,-0.09866865200314202
debt allege sor,-0.09859397869171234
loss,-0.09825976679641132
applicant stated,-0.0981168933129514
possess,-0.09809386814116684
answer sor applicant,-0.09785280995322114
payroll,-0.09770957958821473
minor child,-0.09713727701606971
yell,-0.09702581730967491
citation applicant,-0.09691416296000051
admission,-0.09690806589967609
retail,-0.09670974042247682
camp,-0.09656625451437029
think,-0.09622285864599833
place probation,-0.09618807052178621
applicant acknowledge applicant,-0.09616338098137305
oral sex,-0.09609312706170432
judicial,-0.09603115232264225
hearing applicant,-0.09600059661515546
ans,-0.09587148209177482
acknowledge applicant,-0.09578706474524806
purpose,-0.09574180569600456
executive,-0.09566373070046426
tell police applicant,-0.09550747749000506
website,-0.0954272339796735
engage sexual,-0.09515659420396441
ammunition,-0.09511108132821304
driver license suspend,-0.09483237919845419
record applicant,-0.09469302584892697
resolve debt,-0.09440941993414063
marijuana possession,-0.09438586391463562
therapy,-0.09437154635911842
report,-0.09436311477238954
account collection,-0.09405752393887254
partner,-0.09384554087101898
contact creditor,-0.09371625209858193
intoxication,-0.09360422316555383
disorderly conduct,-0.09350315353372794
22 2019,-0.09324958864604851
applicant aske,-0.09318769348498057
item sor applicant,-0.09310665469866797
subject,-0.0930046525189137
refuse,-0.09282603440682906
answered,-0.09280818067960846
plead guilty applicant,-0.09279432884338623
counseling,-0.09261693231473825
march 2020,-0.09259010123244812
code,-0.09256421700419315
state applicant use,-0.09253553861770554
connection,-0.09253475050840577
2nd offense,-0.09248555991043197
applicant charge possession,-0.09245586670872846
interview psi,-0.09221061419025803
man,-0.09218757808597547
sex applicant,-0.09211282094949368
lcsw,-0.09175114140245265
mitigate,-0.09106503936803913
search,-0.09097195979287699
reliability,-0.09093320747235634
command,-0.09083000388697171
applicant refuse,-0.09052182130035183
trustworthiness,-0.09008120829896313
mdma,-0.08993988850160406
08,-0.08993687174507596
place unsupervised probation,-0.08989309578374563
place unsupervised,-0.08989309578374563
walk,-0.08987839155399964
anxiety,-0.08966118833906951
breast,-0.08952523120155575
duplicate,-0.08951114217006044
open,-0.0895020781268065
enclosure,-0.08948781969311387
sor applicant claime,-0.08941775918319822
alcohol education,-0.08934143547272701
subject interview psi,-0.08920050031838032
taxis tax year,-0.08918947402222457
taxis tax,-0.08918947402222457
therapist,-0.08909485702098452
mental health,-0.0889737358572008
likely,-0.08890439575631777
examination,-0.0886067606757588
clearance,-0.08848271308576733
continue use marijuana,-0.08845463998439064
sell,-0.08841498901083093
debt relief,-0.08839158363193438
father law,-0.08828149320551727
lesser,-0.08807197274416048
plea,-0.0880469440613364
