feature,coef
marijuana,-0.7029565620944977
sexual,-0.5076077037334455
use,-0.4375460207826229
item,-0.4108140622425258
felony,-0.3936838839163501
drug,-0.38974681922667015
sex,-0.37731739570498596
applicant state,-0.34689816091338904
interview,-0.32276247676728925
victim,-0.31724906056689206
convict,-0.31487827670904706
card,-0.3075831192119031
dr,-0.2869027263247395
applicant state applicant,-0.28625279389838326
prostitute,-0.2733590286561893
item item,-0.2693480502439686
ms,-0.26814903461115425
possession,-0.26657394208368695
sailor,-0.2662838550261832
count,-0.2615389209634594
use marijuana,-0.25770634047017016
sor answer,-0.24628496216014245
sexual assault,-0.2392827577192054
hearing,-0.23552932832383416
august,-0.23398044700188642
hearing applicant,-0.23289045874890207
applicant testify,-0.23184409987591437
offense,-0.23025380356366934
history,-0.22667357911717004
testify,-0.22359123350758264
psychologist,-0.22271592771764906
martial,-0.22250311126361727
court martial,-0.22250311126361727
state,-0.22198996781625657
test,-0.22175565368325587
illegal,-0.22108141836795925
applicant sentence,-0.22042438348907295
submit,-0.21534299260367937
aske,-0.21232772980388762
supra,-0.20609039102076615
statement,-0.20498540108953028
state applicant,-0.20374377565406215
probation,-0.2020617100956196
credit card,-0.19974388345549288
discharge,-0.19487325539003855
alcohol,-0.19475266888305623
sentence,-0.19443273576073358
polygraph,-0.19359670242644395
doha,-0.18875056811105168
understand,-0.18700955203938804
applicant response sor,-0.1868770947154916
prison,-0.18598106770170175
guilty,-0.18464712852295387
plead guilty,-0.184376374906938
guideline sor allege,-0.1833954082017467
pornography,-0.18321852708573377
minor,-0.18307878990953116
ge applicant,-0.18054103038463362
month,-0.17940494642641308
company,-0.1793969977159359
methamphetamine,-0.17881099548349624
prostitution,-0.1784087594136167
supra note,-0.17729527668058898
guideline sor,-0.1771262138763776
applicant response,-0.17695607149761125
sor allege,-0.1759038204565826
vehicle,-0.1750496764132576
assert applicant,-0.17484426788782248
aga,-0.17462441796872305
truck,-0.17456410018369045
applicant testify applicant,-0.17406676407341942
background,-0.17259323869118962
applicant say applicant,-0.16855638927936825
condition,-0.1681618070324779
woman,-0.16747090269629766
control substance,-0.16672796432266548
response,-0.16591031119805139
solicit,-0.16579723295381976
applicant fail,-0.16539525425917403
advise,-0.16530682179136602
control,-0.1638231544933889
court,-0.1626772031494274
doha hearing,-0.16123392124821537
oral sex,-0.16072363828561276
say applicant,-0.15943435671047498
applicant say,-0.15858699305055265
false,-0.15841009751738536
theft,-0.1579551418860301
months,-0.15787107530722258
plead,-0.15698739605635723
store,-0.15636632428112177
applicant assert applicant,-0.15572296807750896
behavior,-0.1556046937738729
applicant understand,-0.15362947878174554
interview applicant,-0.15273630875392435
eligibility,-0.15247422188528836
alcohol education,-0.152279925365794
testify applicant,-0.1521499454548509
roommate,-0.15205542052303397
text,-0.15192073537592266
driver license,-0.15102088177727538
child pornography,-0.1506063995881645
applicant admit,-0.1495100769906353
applicant aske,-0.14851527919818233
arrest,-0.14840555079137924
applicant plead guilty,-0.1474755946728832
misuse,-0.1455862621806081
applicant convict,-0.14531552111759516
airline,-0.14505442501850987
use applicant,-0.1449267985644713
drink,-0.1441689405511844
ge sor,-0.14395713872946392
rape,-0.14383092342558595
applicant submit,-0.14368699582810307
information,-0.1434250013323481
extramarital,-0.14335116754688856
place,-0.1430927043447224
item sor,-0.14303899016333763
oral,-0.14296558399653508
sor allege applicant,-0.14250000842547655
security clearance,-0.14244167744015687
write applicant,-0.14210213640032185
just,-0.14204737730657305
airport,-0.14187033696901402
bag,-0.14127879854750064
mdma,-0.14053258720046707
disorder,-0.14042216775005442
answer applicant admit,-0.14013723128858138
bank,-0.1392193457687714
complete alcohol,-0.13796323829436632
applicant assert,-0.13790410213395596
search,-0.1368583581684331
sex applicant,-0.1364308709514694
involvement,-0.13592625498857275
correct,-0.13443460085283807
mr,-0.13440794361794228
trustworthiness,-0.13395340679451964
1993,-0.13374250113956665
mail,-0.1334990903841467
23,-0.1333622492496932
article,-0.132977382155151
assert,-0.13286402746965958
doha hearing applicant,-0.13280583991581923
29,-0.1326419845968086
interrogatory,-0.13192560867343753
place probation,-0.13086601851095328
response sor,-0.13067744002665252
prosecution,-0.13049286935032559
write,-0.12977322822024207
license,-0.12956572092922095
1989,-0.1293611837598618
hearing applicant testify,-0.12851585867730622
2023,-0.12844293052851427
defer,-0.12842938854724792
ecstasy,-0.12737933908264149
illegal drug,-0.1273678202481135
1998,-0.1267735666356007
restitution,-0.12633586837657196
criminal,-0.12629584400001462
evidence,-0.12624212692866843
continue,-0.1262269624609936
access classify,-0.12605851185870554
access classify information,-0.12605851185870554
psi,-0.1258733109644159
lcsw,-0.1256763594877986
substance,-0.12510006520888972
classify information,-0.12450095114070124
applicant answered,-0.12426498470790182
disorderly,-0.12390031762561912
october,-0.12387501427839792
felony count,-0.12360917628474888
including,-0.1229584050418245
applicant use,-0.12289918903760569
place collection,-0.12245981636673971
applicant charge,-0.12223135993092342
2022,-0.12201625031731325
possess,-0.12187177571107313
tag,-0.12128465339949548
stated,-0.12127217641945298
reliability,-0.12066333492050707
say,-0.12055536848829926
charges,-0.12047146976650472
license suspend,-0.12021418225142066
apartment,-0.11999889049031565
dui,-0.11984724424334885
period,-0.11981308362459438
ge sor allege,-0.1193605979551562
hospital,-0.11929378040054009
applicant sentence month,-0.11916310261339591
point,-0.11722143185596269
beer,-0.11707009872215843
registration,-0.11706189213723764
amend,-0.11659541340153207
applicant write,-0.11641522021550281
applicant spouse,-0.116406936482038
answered,-0.11623852962043918
admission,-0.11546861970384653
sentence month,-0.11539210048011854
2020,-0.11476309659210632
friends,-0.1144897677768208
applicant plead,-0.11446537403445964
drinking,-0.11427674811783246
2016 applicant,-0.11411627819302543
2012 applicant,-0.1132729871195256
guilty plea,-0.11263424729498059
lieu,-0.11249507478304932
website,-0.1121279063257929
alcohol drug,-0.11212652534320511
prison applicant,-0.11193952182335616
executive,-0.11184190097724214
month jail,-0.11084523735468527
hours,-0.11061015433835801
debt allege sor,-0.11030497113190173
male,-0.1100366251068043
steroid,-0.10992376116142105
arrest applicant,-0.10903234542377054
meet,-0.10884615360558776
manufacture,-0.10878865465481688
ae,-0.10873749622338155
criminal history,-0.10752285628749361
sor admission,-0.10747268941111376
applicant decide,-0.10716342176265467
hire,-0.10715701284706236
investigation,-0.10707725444812156
couple,-0.10703200945968035
january,-0.10690527607639834
communicate,-0.10683047418963468
interlock,-0.10664053839043676
alcohol tr,-0.10655747008906581
authority,-0.10628593540588792
applicant engage,-0.10624401492421726
intentionally,-0.1060524106933849
tr 35,-0.10589193282804324
applicant discharge,-0.10578908955334965
applicant communicate,-0.10567553709850853
applicant use marijuana,-0.10556055322568378
49,-0.1050404021623872
trial,-0.10489750127380505
allege applicant admit,-0.10486850949714395
background investigation,-0.10447864479151105
clearance,-0.10446015066152035
tr 18,-0.10441314712789711
