feature,coef
company,-0.3643641918851543
file,-0.23859935508211036
download,-0.20424861681788525
personal,-0.19684848057438847
drive,-0.19173987341237875
proprietary,-0.17428733287580006
hard,-0.15717668647730412
scif,-0.1552481139927058
hard drive,-0.14977288623319548
device,-0.14684929696833365
cellphone,-0.14417285483669293
spreadsheet,-0.12722407883839948
email,-0.12320618192653848
network,-0.11745118718739006
violation,-0.11560363587388353
group,-0.11059254954061079
dod,-0.10300403961483713
external,-0.1015970147159211
company proprietary,-0.10088713511579131
investigator,-0.1000524682485098
transfer,-0.09665005219549297
investigation,-0.09616766708780752
proprietary information,-0.0953084997048201
project,-0.09467951396095704
2020,-0.09444508306636785
datum,-0.09401621228262093
e1,-0.0937623269340761
usb device,-0.0937623269340761
army,-0.09288539690737412
policy,-0.09164327983357426
termination,-0.09090777507622023
usb,-0.08928667212928339
mexico,-0.08690737902750888
company policy,-0.08651393153670209
security violation,-0.08639809727594892
passport,-0.08595140718449916
iraq,-0.08585257838464438
property,-0.08452404717156835
computer,-0.08449255775140627
incident,-0.08334476876872084
safe,-0.07828992092059368
external hard,-0.0782632240952763
laptop,-0.07758072691502498
memorandum,-0.07569611750516111
use,-0.07516891694804312
response sor,-0.07414417711505868
access,-0.07261610282522246
external hard drive,-0.07256324022360017
home,-0.07175523450925281
sor,-0.07147283213094456
files,-0.07137299529519035
thumb drive,-0.07106322057603824
january,-0.07094488935522325
personal email,-0.07059786432346771
file applicant,-0.07013389059840323
applicant download,-0.06983878911514316
paragraph,-0.06912537793734738
dropbox,-0.0668750216383435
relate,-0.06644222471329547
agency,-0.06638226973921907
folder,-0.0656798982514343
package,-0.0648994576856356
remove,-0.06425574627096094
march 2020,-0.06422456175317537
return,-0.06197928752396745
work computer,-0.060647625615338596
action,-0.06047206526898455
fantasie,-0.06045893796182789
thumb,-0.05888281728075074
mistake,-0.05879368024241904
require,-0.058653003427345314
applicant response,-0.05831093045287315
technology,-0.05814670275012735
probation,-0.057642776864777534
regarde,-0.05531609504471712
applicant state,-0.055280758937430174
government,-0.054713389331571445
state,-0.054062294812140546
company proprietary information,-0.054037620905020844
left,-0.053853602245061805
applicant use,-0.05351213551012047
background,-0.053288476746902624
powerpoint,-0.05278021754267925
2020 applicant,-0.05251033882651065
combination,-0.05145537704134598
applicant response sor,-0.051166560706375715
contractor,-0.050838495572044944
number,-0.05082662892143839
november,-0.05078188198375331
customer,-0.050256957104579725
sexual,-0.049926659081968625
store,-0.04924024228360415
wipe,-0.04877373842153906
applicant return,-0.048203771243927065
terminate job,-0.04793925736144181
applicant terminate job,-0.04793925736144181
security office,-0.04789938883332369
download file,-0.047896662673665664
explain,-0.047759917651098056
2015,-0.04774238377832666
disclose,-0.047666434705592294
encrypt,-0.047432506799953415
employment,-0.047409142350476316
delete,-0.04694060501007294
2006,-0.0469164682114536
2014,-0.04678659226360882
contain,-0.04677375175116639
dui,-0.0464953897909005
falsification,-0.04643622110610813
alcohol,-0.04600397716295977
applicant remove,-0.04568834752424947
personnel,-0.045082151035615164
response,-0.04500404641009669
answer question,-0.044891182505186276
february 2017,-0.04471552697059523
ceo,-0.04435889454410207
applicant left,-0.04418699920525713
medium,-0.04416706370336091
scg,-0.043960976403519036
dod information,-0.043943121199541045
devices,-0.04393848561636479
incident applicant,-0.04387141539682153
response sor applicant,-0.04378513897012247
applicant require,-0.043687262177537885
complete,-0.04354770041705801
information technology,-0.043327068815729446
master degree,-0.04330123974471619
offense,-0.04321717549504858
agency investigator,-0.043203177719069404
sexual fantasie,-0.043184955687019924
qip,-0.04264941074877076
write,-0.04251305858295255
work laptop,-0.04244839774722012
occur,-0.04241301041357413
september,-0.042031704896434194
transmit,-0.04199693301118768
sor applicant,-0.04175173627507504
email contain,-0.04164422747283173
including,-0.041583489999212145
residence,-0.04146600321438268
software,-0.0413767241272499
business,-0.04132056371897504
interview,-0.04109820218924677
memorize,-0.041071891724231674
icr,-0.040980392074015805
applicant send document,-0.040980392074015805
forth,-0.04097711214444688
retrieve,-0.04066153147179526
passcode,-0.04056288110726866
network applicant,-0.040376497168117344
file personal,-0.04031250115576136
determine,-0.03995399682864394
sor applicant write,-0.03979160172138128
intellectual property,-0.03940784822526051
contain classify information,-0.03924470536544113
equipment,-0.03912631698141775
tr 37,-0.039118015628847175
violation tr,-0.038800037861683914
process,-0.038785768359207926
scif applicant,-0.03859906708405155
applicant state applicant,-0.03850959266630164
37,-0.038442278732210816
applicant disclose,-0.03818552341216892
classify information,-0.03801358579358947
drives,-0.03800320763780578
answer,-0.037201911906863144
inspection,-0.03708765333830043
locker,-0.03707301981514961
classify sensitive,-0.036988529254904604
worker unclassified network,-0.03678921869269542
clearance violation tr,-0.03678921869269542
security clearance violation,-0.03678921869269542
clearance violation,-0.03678921869269542
send email contain,-0.03678921869269542
result security clearance,-0.03678921869269542
information worker unclassified,-0.03678921869269542
information worker,-0.03678921869269542
violation tr page,-0.03678921869269542
classify information worker,-0.03678921869269542
worker unclassified,-0.03678921869269542
internet,-0.03677992036915281
copy,-0.036755238656858556
applicant explain,-0.036754026654978754
storage devices,-0.03661096873249048
group supervisor,-0.03661096873249048
storage,-0.036557343750558774
position,-0.036352100027870766
1995,-0.03632528188404998
update,-0.03589607012998764
email contain classify,-0.03586925012676944
termination contractor,-0.03576568445453884
terminate,-0.035694670233645476
book,-0.03554684037834595
13,-0.03551703573297053
email account,-0.03548763645023745
presentation,-0.03542906513807848
2003,-0.03538000453829348
computer equipment,-0.0352066215037108
personal information,-0.03501901183467202
file thumb,-0.03499254089053
file thumb drive,-0.03499254089053
unite state,-0.03498086462248445
document,-0.03492547721898372
employment termination,-0.03486367544291173
verbal,-0.03482895155249265
create,-0.034639249508473476
inoperable,-0.03457930589909832
home tr 37,-0.03457930589909832
home tr,-0.03457930589909832
daughter friend,-0.034547964549615943
belonging,-0.03452725920164495
spillage,-0.03448934656869576
room,-0.03440467975390103
enc,-0.03422657643685973
chief security manager,-0.03422657643685973
chief security,-0.03422657643685973
begin,-0.034150452046551066
draft,-0.03415032672834651
job,-0.03406414038419296
applicant begin,-0.034033474225015826
citizen,-0.03397908465014458
personal files,-0.03394599278433064
previous employer,-0.033723589812667654
paragraph guideline,-0.03369939381905086
document personal,-0.033631332185188365
violation company,-0.033589909950299104
contain classify,-0.03353324821843459
reprimand,-0.033478887648825485
following security,-0.03337771249131519
complete annual security,-0.03337771249131519
complete annual,-0.03337771249131519
send document,-0.033248059210581445
violate company,-0.03322501025697507
violate company policy,-0.03322501025697507
highly,-0.03321207561545757
000 file,-0.03319446288889679
require complete,-0.033015822464095734
require provide,-0.03280605949626501
deliberate,-0.032801240791396805
connect,-0.032779621262037144
spill,-0.03271915639323897
master,-0.0326393064432969
e1 applicant,-0.03261298328141777
company security,-0.03242947882026703
government allege,-0.032292730810554275
unclassified information,-0.03206371553751317
way,-0.03205089427377507
set forth,-0.032044467865429055
unclassified,-0.032003111038009215
lock briefcase,-0.03183328137710502
briefcase,-0.03183328137710502
dod security,-0.0317086481565119
applicant terminate,-0.03169538047980737
use work,-0.03163487480924913
virus,-0.031470598418044
allegation,-0.03145361687820192
ge 27,-0.0313763207284029
company network,-0.031373527212655294
protect,-0.03127986912938945
security department,-0.03120044759949182
unite,-0.031161837537930104
