feature,coef
pornography,-0.2020819797450405
computer,-0.18676184586712835
company,-0.16463948188500546
view,-0.16169483302842264
tax,-0.15530288656829577
ge,-0.14001056514015564
file,-0.13796517516130113
transfer,-0.11660895398798705
misconduct,-0.1072590894032026
view pornography,-0.10198780930135376
mr,-0.09770489548404834
interview,-0.09475938722111427
download,-0.09443223874781857
laptop,-0.09364977855905818
cameroon,-0.08546966927638526
russia,-0.08177954760053291
usb,-0.08100168043045043
eip,-0.07855364211226701
website,-0.0785462373789055
2013,-0.07640955171298505
video,-0.07459357934157157
edibles,-0.07445548446493522
usb drive,-0.07312058436493496
debt,-0.07005532703312617
item,-0.06954009753429488
ehd,-0.06915953384629106
february,-0.06887428262249248
applicant use,-0.06782563367705435
applicant say,-0.06612725894024911
applicant view,-0.06525604230003647
sexually,-0.06421729789304916
investigator,-0.06391433588310397
image,-0.06324785799297444
sexual,-0.06253240261192929
dropbox,-0.062214563217060044
2020,-0.062071865405286565
drive,-0.05961220310090016
policy,-0.059608597366206544
2022,-0.059559083149671656
ge applicant,-0.05936007348296182
use company,-0.05897755504451411
corporate computer,-0.058732316449512115
witness,-0.05823338126867299
claime,-0.05813203063735033
000,-0.05759205237864805
child support,-0.05610769484320513
applicant transfer,-0.05590288502959307
response,-0.05559425748746908
explicit,-0.05502979735516625
irs,-0.05371803144822511
doctor,-0.05317575956328285
wifi,-0.052739301495995775
computer tr,-0.052082524317008085
illegal,-0.05207567751778109
pornography work,-0.05153102637246005
pornographic,-0.05089701253354599
lieu,-0.05076605117815392
applicant say applicant,-0.050238501125743476
thumb,-0.04999110255039103
thumb drive,-0.04958637929693314
government investigator,-0.04930729797671603
dod,-0.04923941880367513
addiction,-0.04915515823574675
applicant claime,-0.049049811088481166
datum,-0.04871428071245658
malware,-0.04811610662518964
tax return,-0.04789386637073126
dark web,-0.04762550306970293
dark,-0.04762550306970293
ae,-0.047353302164837435
company policy,-0.047313669170496654
tablet,-0.04702848301547792
investigator applicant,-0.046935586755942504
income,-0.04680652509886733
arrearages,-0.0467564123693376
use company issue,-0.04668094754017527
company laptop,-0.046073056015420284
applicant view pornography,-0.04591511712462573
relate,-0.04584329965930534
sleep,-0.04566000638672592
hack,-0.04442331156022398
claime applicant,-0.04433014086227486
debts,-0.04419182299570524
sca,-0.04393028612163916
virus,-0.04381507808377777
attend,-0.043384740266755074
store,-0.04330585412650584
computer applicant,-0.0430792452299748
vendor,-0.04288104395879881
disciplinary,-0.04279035435584009
company issue,-0.04224971627136498
pain,-0.04208386489868579
file transfer,-0.041914908528889606
card,-0.04157221922609606
marijuana,-0.04134912113123943
student,-0.041300402356280956
laptop computer,-0.040884531446950145
password,-0.0408698645485837
pornography tr,-0.04062949431327726
drb,-0.04051594384213057
aske,-0.04036264619875462
lie,-0.039859127906051256
youtube,-0.03937183464430663
pay,-0.03914776569707429
content,-0.03907533675195124
resign,-0.038937338866667344
utility,-0.03886123097351021
say,-0.03884214364859709
september 2017,-0.03873446167302483
line applicant,-0.03868707802949586
page line applicant,-0.03868707802949586
corporate,-0.0386104097562655
applicant sign,-0.03854045318267792
prohibited,-0.038397209165034675
device,-0.03830655055593877
2013 applicant,-0.03823587394073109
employer computer,-0.03780312900547125
interview applicant,-0.03768835605258459
web,-0.03765522908886623
work applicant,-0.03752726651154396
loan,-0.03750722730924466
2019 interview,-0.03722774223246761
90 94,-0.037172521636605865
sexually explicit,-0.03687163706507446
misuse,-0.03659086828620997
archive,-0.03650093386460303
pornographic website,-0.036283112844108865
applicant lie,-0.03619270009476887
network applicant,-0.03613951724041278
personal ehd,-0.03596295760007135
like,-0.03587597039960007
applicant claime applicant,-0.03570254210759366
prohibit,-0.03546569835963281
use government,-0.03540643318570033
owe,-0.03537635528682448
computer view,-0.03527865645234908
use personal,-0.035270903423688056
lieu termination,-0.03517135535119005
child,-0.03496623398018453
aske applicant,-0.034784036414805826
total,-0.03478199728063556
work laptop,-0.0347591282819824
illegally,-0.034682799255668896
sign,-0.034609754941346785
computer view pornography,-0.034166765528992324
girlfriend,-0.03413850775574515
connect,-0.03394310067301616
time,-0.03392816312088875
july 2018,-0.033882709187891366
transfer file,-0.033749279934389385
guideline sor,-0.03360251862854771
work current,-0.0334790668659619
work current employer,-0.0334790668659619
counselor,-0.0332922552405456
issue computer,-0.03307430875485496
wipe,-0.032937121703149434
long,-0.032789638455902714
internet,-0.03270717956381258
policy applicant,-0.032650000680210456
drive applicant,-0.03257279522807183
view image,-0.03237096134171944
usb device,-0.03233732345818197
company issue computer,-0.03233545140313088
work computer,-0.03208265643234952
defense,-0.032018861759811675
company proprietary,-0.031918436316172916
february 2015,-0.03190841079037758
unaware,-0.03188330521691097
